site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,serial.number,buoy.id,notes,type
"Miminegash, PEI",10,B,9,46.9005,64.2381,2023,S12306,DP,,CG
"Miminegash, PEI",10,B,9,46.9005,64.2381,2024,S12306,DP,,CG
"Miscou, NB",15,B,14,48.03061,64.54602,2021,354091,EB,,CG
"Miscou, NB",15,B,14,48.03061,64.54602,2022,358435,EB,,CG
"Miscou, NB",15,B,14,48.03061,64.54602,2023,S11894,EB,,CG
"Miscou, NB",15,B,14,48.03061,64.54602,2024,S12337,EB,,CG
"Murray Harbour, PEI",8,B,8,46.0544,62.4553,2023,S11836,collecteur,,coll
"Murray Harbour, PEI",8,B,8,46.0544,62.4553,2024,S11836,collecteur,,coll
"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2023,S11843,collecteur,,coll
"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,S11843,collecteur,,coll
"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2023,S11874,collecteur,,coll
"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,S11874,collecteur,,coll
"Nine Mile Creek, PEI ",,B,,,,2023,T6201,Robert MacMillan,,
"North Cape, PEI",18,B,17,47.08333,64.00083,2021,,DS,,CG
"North Cape, PEI",18,B,17,47.08333,64.00083,2022,s11191,DS,,CG
"North Cape, PEI",18,B,17,47.08333,64.00083,2023,S11895,DS,,CG
"North Cape, PEI",18,B,17,47.08333,64.00083,2024,S11191,DS,,CG
"North Tracadie, PEI",12,B,11,46.43422,63.03378,2021,,JH,,CG
"North Tracadie, PEI",12,B,11,46.43422,63.03378,2022,s11192,JH,,CG
"North Tracadie, PEI",12,B,11,46.43422,63.03378,2023,S11896,JH,,CG
"North Tracadie, PEI",12,B,11,46.43422,63.03378,2024,S11192,JH,,CG
Pleasant Bay,20,B,19,46.92583333,60.70555556,2023,S12316,,,
"Pleasant Bay 1, NS",20,B,19,46.9258,60.7056,2023,S12316,Leonard Leblanc,,
"Pleasant Bay 1, NS",20,S,19,46.9258,60.7056,,352987,Leonard Leblanc,,
"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2021,358426,VC,,CG
"Pleasant Bay 2, NS",27,S,2,46.84169,60.80489,2021,352987,VC,,CG
"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2022,358425,VC,,CG
"Pleasant Bay 2, NS",27,S,2,46.84169,60.80489,2022,356284,VC,,CG
"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2023,S11898,VC,,CG
"Pleasant Bay 2, NS",27,S,2,46.84169,60.80489,2023,S11899,VC,,CG
"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,S12338,VC,,CG
"Pleasant Bay 2, NS",27,S,2,46.84169,60.80489,2024,S12339,VC,,CG
"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2021,354096,X25,,CG
"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2022,S11424,X25,,CG
"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2023,S11858,X25,,CG
"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,S11424,X25,,CG
