"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"08:00:00 PM",19.06
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"10:00:00 PM",18.27
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"12:00:00 AM",18.85
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"02:00:00 AM",18.47
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"04:00:00 AM",18.47
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"06:00:00 AM",18.79
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"08:00:00 AM",18.89
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"10:00:00 AM",20.03
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"12:00:00 PM",20.58
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"02:00:00 PM",20.77
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"04:00:00 PM",20.58
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"06:00:00 PM",20.65
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"08:00:00 PM",20.39
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"10:00:00 PM",20.38
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"12:00:00 AM",20.43
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"02:00:00 AM",20.47
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"04:00:00 AM",20.52
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"06:00:00 AM",20.26
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"08:00:00 AM",20.08
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"10:00:00 AM",20.16
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"12:00:00 PM",20.33
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"02:00:00 PM",20.6
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"04:00:00 PM",20.68
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"06:00:00 PM",21.45
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"08:00:00 PM",21.19
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"10:00:00 PM",21.14
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"12:00:00 AM",20.83
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"02:00:00 AM",20.81
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"04:00:00 AM",20.77
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"06:00:00 AM",20.91
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"08:00:00 AM",20.76
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"10:00:00 AM",20.97
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"12:00:00 PM",21.05
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"02:00:00 PM",20.85
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"04:00:00 PM",20.97
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"06:00:00 PM",21.64
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"08:00:00 PM",21.02
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"10:00:00 PM",21.27
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"12:00:00 AM",21.32
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"02:00:00 AM",21.11
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"04:00:00 AM",20.94
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"06:00:00 AM",21.12
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"08:00:00 AM",20.86
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,14,2022-08-14,"10:00:00 AM",20.96
