"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"12:00:00 AM",18.25
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"02:00:00 AM",18.29
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"04:00:00 AM",18.78
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"06:00:00 AM",21.3
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"08:00:00 AM",22.73
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"10:00:00 AM",24.23
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"12:00:00 PM",24.52
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"02:00:00 PM",23.76
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"04:00:00 PM",22.14
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,10,2022-08-10,"06:00:00 PM",20.7
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"08:00:00 PM",19.93
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"10:00:00 PM",19.46
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"12:00:00 AM",19.05
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"02:00:00 AM",18.9
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"04:00:00 AM",20.3
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"06:00:00 AM",25.23
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"08:00:00 AM",29.37
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"10:00:00 AM",29.42
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"12:00:00 PM",24.84
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"02:00:00 PM",26.77
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"04:00:00 PM",24.88
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,11,2022-08-11,"06:00:00 PM",25.79
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"08:00:00 PM",27.32
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"10:00:00 PM",27.37
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"12:00:00 AM",26.82
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"02:00:00 AM",24.82
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"04:00:00 AM",25.06
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"06:00:00 AM",25.84
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"08:00:00 AM",33.15
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"10:00:00 AM",29.9
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"12:00:00 PM",16.83
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"02:00:00 PM",16.95
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"04:00:00 PM",17
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,12,2022-08-12,"06:00:00 PM",17.16
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"08:00:00 PM",17.13
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"10:00:00 PM",17.29
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"12:00:00 AM",17.29
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"02:00:00 AM",16.99
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"04:00:00 AM",16.86
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"06:00:00 AM",16.78
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"08:00:00 AM",16.31
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"10:00:00 AM",16.08
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"12:00:00 PM",15.42
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,13,2022-08-13,"02:00:00 PM",15.12
