site,year,site.depth.m,surface.bottom,log.depth.m,latitude,longitude
"Alberton, P.E.I.",2014,8,B,8,46.73682,-63.97102
"Alberton, P.E.I.",1996,20,B,20,46.81,-63.9778
"Malpeque, P.E.I.",2015,17,B,16,46.58339,-63.61881
"Alberton, P.E.I.",1996,20,S,2,46.81,-63.9778
"Murray Harbour, P.E.I.",2014,8,B,8,46.05687,-62.45628
"Beach Point, P.E.I.",1996,10,B,10,46.03481,-62.45311
"Cape George, N.S.",2014,17,B,16,45.87619,-61.88717
"Caraquet, N.B.",1996,20,S,2,47.88028,-64.8975
"Cape Tormentine, N.B.",2014,15,B,14,46.10944444,-63.68444444
"Caraquet, N.B.",1996,20,B,20,47.88028,-64.8975
"Caribou, N.S.",1996,20,S,2,45.78694,-62.79472
"Caribou, N.S.",1996,20,B,20,45.78694,-62.79472
"Caribou, N.S.",2014,10,B,9,45.77464,-62.67353
"Cribbons Point, N.S.",1996,20,S,2,45.76917,-61.88733
"Cascumpeque, P.E.I.",2014,12,B,11,46.79563,-63.99395
"Cribbons Point, N.S.",1996,20,B,20,45.76917,-61.88733
"Jacket River, N.B.",1996,20,S,2,48.01861,-66.10694
"Cheticamp, N.S.",2014,20,B,20,46.60778,-61.05906
"Covehead 1, P.E.I.",2014,8,B,8,46.4408,-63.15933
"Jacket River, N.B.",1996,20,B,20,48.01861,-66.10694
"Covehead 2, P.E.I.",2014,13,B,12,46.44839167,-63.13851389
"Pinette, P.E.I.",1996,9,B,9,46.02722,-62.97778
"Egmont Bay, P.E.I.",2014,7,B,7,46.4562,-64.13182
"Pleasant Bay, N.S.",1996,20,B,20,46.83889,-60.80556
"Escuminac, N.B.",2014,11,B,10,47.11917,-64.785
"Pleasant Bay, N.S.",1996,20,S,2,46.83889,-60.80556
"Escuminac, N.B.",2014,11,S,2,47.11917,-64.785
"Pugwash, N.S. (1)",1996,15,S,2,45.93556,-63.57333
"Fortune 1, P.E.I.",2014,9,B,9,46.30027,-62.33727
"Pugwash, N.S. (1)",1996,15,B,15,45.93556,-63.57333
"Fortune 2, P.E.I.",2014,21,B,21,46.30077,-62.30712
"Indian Rocks, P.E.I.",2014,20,B,19,45.91507,-62.8199
"Souris, P.E.I.",1996,20,B,20,46.33583,-62.2475
"Stonehaven, N.B.",1996,20,B,20,47.75753,-65.37725
"Jack Shoal, N.S.",2014,17,B,16,45.72256,-61.54981
"Val Comeau, N.B.",1996,20,S,2,47.4575,-64.79306
"Judique Shoals, N.S.",2014,14,B,13,45.83786,-61.55272
"Val Comeau, N.B.",1996,20,B,20,47.4575,-64.79306
"Caraquet, N.B.",1997,20,B,20,47.89667,-64.85639
"Caraquet, N.B.",1997,20,S,2,47.89667,-64.85639
"Cribbons Point, N.S.",1997,20,S,2,45.76917,-61.88733
"Le Goulet, N.B.",2014,9,B,8,47.70111,-64.65139
"Cribbons Point, N.S.",1997,20,B,20,45.76917,-61.88733
"Mabou Harbour, N.S.",2014,13,B,12,46.09141,-61.49111
"Escuminac, N.B.",1997,20,B,20,47.11917,-64.7181
"Malpeque, P.E.I.",2014,17,B,16,46.58339,-63.61881
"Jacket River, N.B.",1997,20,S,2,48.01861,-66.10694
"Jacket River, N.B.",1997,20,B,20,48.01861,-66.10694
"Kouchibouguac, N.B.",1997,22,B,22,46.8344,-64.7072
"Malpeque, P.E.I.",1997,15,B,15,46.58306,-63.61944
"Malpeque, P.E.I.",2014,17,S,2,46.58339,-63.61881
"Neguac, N.B.",1997,20,B,20,47.16667,-64.83333
"Margaree, N.S.",2014,16,B,16,46.45388,-61.12065
"Pleasant Bay, N.S.",1997,20,B,20,46.83889,-60.80556
"Pinette, P.E.I.",1997,9,B,9,46.02722,-62.97778
"Miscou, N.B.",2014,15,B,14,48.03061,-64.54602
"Pleasant Bay, N.S.",1997,20,S,2,46.83889,-60.80556
"Pointe Verte, N.B.",1997,20,S,2,47.83444,-65.70722
"Port Hood, N.S.",1997,20,B,20,46.02139,-61.5825
"Nine Mile Creek, P.E.I.",2014,8,B,8,46.10367,-63.22792
"Port Hood, N.S.",1997,20,S,2,46.02139,-61.5825
"North Cape, P.E.I.",2014,18,B,17,47.08333,-64.00083
"Pugwash, N.S. (1)",1997,15,B,15,45.93556,-63.57333
"Pugwash, N.S. (1)",1997,15,S,2,45.93556,-63.57333
"North Tracadie, P.E.I.",2014,12,B,11,46.43422,-63.03378
"Shediac, N.B.",1997,12,B,12,46.34278,-64.41
"Skinner's Cove, N.S.",1997,20,B,20,45.8195,-63.01367
"Skinner's Cove, N.S.",1997,20,S,2,45.8195,-63.01367
"North Tracadie, N.B.",2014,8,B,7,47.50333,-64.84833
"Stonehaven, N.B.",1997,20,B,20,47.75753,-65.37725
"Pleasant Bay 2, N.S.",2014,27,B,26,46.84169,-60.80489
"Val Comeau, N.B.",1997,20,B,20,47.4575,-64.79306
"Val Comeau, N.B.",1997,20,S,2,47.4575,-64.79306
"Caraquet, N.B.",1998,20,S,2,47.89667,-64.85639
"Pleasant Bay 2, N.S.",2014,27,S,2,46.84169,-60.80489
"Caraquet, N.B.",1998,20,B,20,47.89667,-64.85639
"Pleasant Bay 1, N.S.",2014,16,B,16,46.91256,-60.70543
"Cribbons Point, N.S.",1998,20,S,2,45.76917,-61.88733
"Cribbons Point, N.S.",1998,20,B,20,45.76917,-61.88733
"Pointe Sapin, N.B.",2014,10,B,9,46.97333,-64.74389
"Escuminac, N.B.",1998,20,B,20,47.11917,-64.7181
"Jacket River, N.B.",1998,20,S,2,48.01861,-66.10694
"Jacket River, N.B.",1998,20,B,20,48.01861,-66.10694
"Kouchibouguac, N.B.",1998,10,S,2,46.84697,-64.84633
"Prim Reef, P.E.I.",2014,14,B,13,46.0445,-63.11324
"Kouchibouguac, N.B.",1998,10,B,10,46.84697,-64.84633
"Pinette, P.E.I.",1998,9,B,9,46.02722,-62.97778
"Pleasant Bay, N.S.",1998,20,S,2,46.83889,-60.80556
"Rustico, P.E.I.",2014,11,B,10,46.465,-63.275
"Pleasant Bay, N.S.",1998,20,B,20,46.83889,-60.80556
"Shediac, N.B.",2014,6,B,5,46.28167,-64.50153
"Pointe Verte, N.B.",1998,20,S,2,47.83444,-65.70722
"Pointe Verte, N.B.",1998,20,B,20,47.83444,-65.70722
"Port Hood, N.S.",1998,20,S,2,46.02139,-61.5825
"Shippagan, N.B.",2014,18,B,17,47.88728,-64.76322
"Port Hood, N.S.",1998,20,B,20,46.02139,-61.5825
"Pugwash, N.S. (1)",1998,15,S,2,45.93556,-63.57333
"Shippagan, N.B.",2014,18,S,2,47.88728,-64.76322
"Pugwash, N.S. (1)",1998,15,B,15,45.93556,-63.57333
"Shediac, N.B.",1998,12,S,2,46.34278,-64.41
"Shediac, N.B.",1998,12,B,12,46.34278,-64.41
"Skinners Pond, P.E.I.",2014,7,B,7,46.9412,-64.1868
"Skinner's Cove, N.S.",1998,20,S,2,45.8195,-63.01367
"Souris, P.E.I.",2014,21,B,20,46.32947,-62.25658
"Skinner's Cove, N.S.",1998,20,B,20,45.8195,-63.01367
"St Peters, P.E.I.",2014,15,B,14,46.45256,-62.73933
"Souris, P.E.I.",1998,20,S,2,46.33583,-62.2475
Strait Crossing 2,2014,20,B,19,46.15672,-63.66436
"Souris, P.E.I.",1998,20,B,20,46.33583,-62.2475
"Stonehaven, N.B.",1998,20,S,2,47.75753,-65.37725
Strait Crossing 1,2014,15,B,14,46.28342,-63.87103
"Stonehaven, N.B.",1998,20,B,20,47.75753,-65.37725
"Val Comeau, N.B.",1998,20,S,2,47.4575,-64.79306
"Tabusintac, N.B.",2014,6,B,5,47.28944,-64.92028
"Val Comeau, N.B.",1998,20,B,20,47.4575,-64.79306
"Cribbons Point, N.S.",1999,20,B,20,45.76917,-61.88733
"Cap Lumiere, N.B.",1995,20,S,2,46.66667,-64.59694
"Victoria, P.E.I.",2014,7,B,6,46.17644,-63.46686
"Cap Lumiere, N.B.",1995,20,B,20,46.66667,-64.59694
"West Point, P.E.I.",2014,24,B,23,46.66833,-64.50028
"Caraquet, N.B.",1995,20,S,2,47.88028,-64.8975
"Caraquet, N.B.",1995,20,B,20,47.88028,-64.8975
"Anse Bleue 1, N.B.",2014,25,B,12,47.85065,-65.07125
"Anse Bleue 2, N.B.",2014,25,B,18,47.85065,-65.07125
"Caribou, N.S.",1995,20,S,2,45.78694,-62.79472
"Caribou, N.S.",1995,20,B,20,45.78694,-62.79472
"Cribbons Point, N.S.",1995,20,S,2,45.76917,-61.88733
"Cribbons Point, N.S.",1995,20,B,20,45.76917,-61.88733
"Escuminac, N.B.",1995,20,S,2,47.11917,-64.7181
"Anse Bleue 3, N.B.",2014,25,B,24,47.85065,-65.07125
"Alberton, P.E.I.",2015,8,B,8,46.73495,-63.9686
"Escuminac, N.B.",1995,20,B,20,47.11917,-64.7181
"Murray Harbour, P.E.I.",2015,9,B,9,46.05825,-62.45768
"Port Hood, N.S.",1995,20,S,2,46.02139,-61.5825
"Cape George, N.S.",2015,17,B,16,45.87619,-61.88717
"Port Hood, N.S.",1995,20,B,20,46.02139,-61.5825
"Cape Tormentine, N.B.",2015,15,B,14,46.10944444,-63.68444444
"New Mills, N.B.",1995,20,S,2,48.0186,-66.1069
"New Mills, N.B.",1995,20,B,20,48.0186,-66.1069
"North Lake, P.E.I.",1995,12,S,2,46.4919,-62.1661
"Caribou, N.S.",2015,10,B,9,45.77464,-62.67353
"North Lake, P.E.I.",1995,12,B,12,46.4919,-62.1661
"Cascumpeque, P.E.I.",2015,12,B,11,46.79563,-63.99395
"Pointe Verte, N.B.",1995,20,B,20,47.83444,-65.70722
"Pointe Verte, N.B.",1995,20,S,2,47.83444,-65.70722
"Covehead 1, P.E.I.",2015,6,B,6,46.442,-63.158
"Pugwash, N.S. (1)",1995,15,S,2,45.93556,-63.57333
"Covehead 2, P.E.I.",2015,13,B,12,46.44839167,-63.13851389
"Pugwash, N.S. (1)",1995,15,B,NA,45.93556,-63.57333
"Souris, P.E.I.",1995,20,S,2,46.33583,-62.2475
"East Point Reef, P.E.I.",2015,22,B,21,46.46784444,-61.93737778
"Souris, P.E.I.",1995,20,B,20,46.33583,-62.2475
"Tracadie Bay, P.E.I.",1995,15,S,2,46.435,-63.0083
"Egmont Bay, P.E.I.",2015,9,B,9,46.4562,-64.13182
"Tracadie Bay, P.E.I.",1995,15,B,15,46.435,-63.0083
"Escuminac, N.B.",2015,11,B,10,47.11917,-64.785
"Val Comeau, N.B.",1995,20,S,2,47.4575,-64.79306
"Val Comeau, N.B.",1995,20,B,20,47.4575,-64.79306
"Escuminac, N.B.",2015,11,S,2,47.11917,-64.785
"Cribbons Point, N.S.",1999,20,S,2,45.76917,-61.88733
"Fortune 1, P.E.I.",2015,9,B,9,46.30152,-62.33603
"Fortune 2, P.E.I.",2015,21,B,21,46.30112,-62.30883
"Egmont Bay, P.E.I.",1999,9,B,9,46.45833,-64.14667
"Indian Rocks, P.E.I.",2015,20,B,19,45.91507,-62.8199
"Jack Shoal, N.S.",2015,17,B,16,45.72256,-61.54981
"Escuminac, N.B.",1999,20,B,20,47.11917,-64.7181
"Judique Shoals, N.S.",2015,14,B,13,45.83786,-61.55272
"Jacket River, N.B.",1999,20,B,20,48.01861,-66.10694
"Jacket River, N.B.",1999,20,S,2,48.01861,-66.10694
"Judique Shoals, N.S.",1999,14,B,14,45.83778,-61.55272
"Le Goulet, N.B.",2015,9,B,8,47.70111,-64.65139
"Mabou Harbour, N.S.",2015,13,B,12,46.09141,-61.49111
"Malpeque, P.E.I.",1999,17,B,17,46.58339,-63.61881
"North Lake, P.E.I.",1999,13,B,13,46.48228,-62.05767
"Pleasant Bay, N.S.",1999,20,B,20,46.83889,-60.80556
"Malpeque, P.E.I.",2015,17,S,2,46.58339,-63.61881
"Margaree, N.S.",2015,16,B,16,46.45388,-61.12065
"Pointe Verte, N.B.",1999,20,B,20,47.83444,-65.70722
"Miminegash, P.E.I.",2015,10,B,9,46.90083,-64.23889
"Pointe Verte, N.B.",1999,20,S,2,47.83444,-65.70722
"Pugwash, N.S. (1)",1999,9,B,9,45.90174,-63.68856
"Miscou, N.B.",2015,15,B,14,48.03061,-64.54602
"Nine Mile Creek, P.E.I.",2015,8,B,8,46.10397,-63.22712
"Pugwash, N.S. (2)",1999,20,B,20,45.93556,-63.57333
"North Cape, P.E.I.",2015,18,B,17,47.08333,-64.00083
"Pugwash, N.S. (2)",1999,20,S,2,45.93556,-63.57333
"Shediac, N.B.",1999,6,B,6,46.28167,-64.50153
"North Tracadie, N.B.",2015,8,B,7,47.50333,-64.84833
"Skinner's Cove, N.S.",1999,20,B,20,45.8195,-63.01367
"North Tracadie, P.E.I.",2015,12,B,11,46.43422,-63.03378
"Skinner's Cove, N.S.",1999,20,S,2,45.8195,-63.01367
"Pleasant Bay 1, N.S.",2015,27,B,26,46.84169,-60.80489
"Souris, P.E.I.",1999,20,B,20,46.33583,-62.2475
"Souris, P.E.I.",1999,20,S,2,46.33583,-62.2475
"St-Edouard, N.B.",1999,9,B,9,46.38583,-64.51278
"Pleasant Bay 1, N.S.",2015,27,S,2,46.84169,-60.80489
"St-Edouard, N.B.",1999,9,S,2,46.38583,-64.51278
"Stonehaven, N.B.",1999,20,B,20,47.75753,-65.37725
"Stonehaven, N.B.",1999,20,S,2,47.75753,-65.37725
"Tignish, P.E.I.",1999,14,B,14,46.9434,-63.95349
"Pleasant Bay 2, N.S.",2015,16,B,16,46.91257,-60.70543
"Pointe Sapin, N.B.",2015,10,B,9,46.97333,-64.74389
"South Tracadie, N.B.",1999,9,B,9,47.47778,-64.84944
"Prim Reef, P.E.I.",2015,14,B,13,46.0445,-63.11324
"North Tracadie, P.E.I.",1999,12,B,12,46.43422,-63.03378
"Richibucto, N.B.",2015,11,B,10,46.72506,-64.74103
"Val Comeau, N.B.",1999,20,B,20,47.4575,-64.79306
"Rustico, P.E.I.",2015,11,B,10,46.465,-63.275
"Val Comeau, N.B.",1999,20,S,2,47.4575,-64.79306
"Egmont Bay, P.E.I.",2000,9,B,9,46.45833,-64.14667
"Shediac, N.B.",2015,6,B,5,46.28167,-64.50153
"Bouctouche, N.B.",2000,13,B,13,46.52667,-64.54833
"Shippagan, N.B.",2015,18,B,17,47.88728,-64.76322
"Judique Shoals, N.S.",2000,14,B,14,45.83778,-61.55272
"Shippagan, N.B.",2015,18,S,2,47.88728,-64.76322
"Le Goulet, N.B.",2000,9,B,9,47.70111,-64.65139
"Skinners Pond, P.E.I.",2015,7,B,7,46.94127,-64.18743
"Souris, P.E.I.",2015,21,B,20,46.32947,-62.25658
"Malpeque, P.E.I.",2000,17,B,17,46.58339,-63.61881
Strait Crossing 1,2015,15,B,14,46.28342,-63.87103
"Miminegash, P.E.I.",2000,11,B,11,46.90083,-64.23889
Strait Crossing 2,2015,20,B,19,46.15672,-63.66436
"Murray Harbour, P.E.I.",2000,15,B,15,46.03472,-62.45222
"Tabusintac, N.B.",2015,6,B,5,47.28944,-64.92028
"Victoria, P.E.I.",2015,7,B,6,46.17644,-63.46686
"Petit Rocher, N.B.",2000,10,B,10,47.782,-65.70242
"West Point, P.E.I.",2015,24,B,23,46.66833,-64.50028
"Pleasant Bay, N.S.",2000,26.5,B,26.5,46.84169,-60.80489
"Anse Bleue 1, N.B.",2015,25,B,12,47.85065,-65.07125
Strait Crossing,2000,20,B,20,46.18425,-63.70769
"Pugwash, N.S. (1)",2000,9,B,9,45.90174,-63.68856
"Anse Bleue 2, N.B.",2015,25,B,18,47.85065,-65.07125
"Shediac, N.B.",2000,6,B,6,46.28167,-64.50153
"Souris, P.E.I.",2000,21,B,21,46.32947,-62.25658
"Anse Bleue 3, N.B.",2015,25,B,24,47.85065,-65.07125
"North Tracadie, P.E.I.",2000,12,B,12,46.43422,-63.03378
"Escuminac, N.B.",1997,20,S,2,47.11917,-64.7181
Strait Crossing,2001,25,B,25,46.23839,-63.80019
Strait Crossing,2001,20,B,20,46.18425,-63.70769
"Bouctouche, N.B.",2001,13,B,13,46.52667,-64.54833
"Caribou, N.S.",2001,10,B,10,45.77458,-62.67417
"Escuminac, N.B.",2001,11,B,11,47.11917,-64.785
"Judique Shoals, N.S.",2001,14,B,14,45.83778,-61.55272
"Malpeque, P.E.I.",2001,17,B,17,46.58339,-63.61881
"North Lake, P.E.I.",2001,13,B,13,46.48228,-62.05767
"Pleasant Bay, N.S.",2001,26.5,B,26.5,46.84169,-60.80489
"Pugwash, N.S.",2001,14,B,14,45.95839,-63.63714
"Shediac, N.B.",2001,6,B,5,46.28167,-64.50153
"Shippagan, N.B.",2001,18,B,18,47.88728,-64.76322
"Tignish, P.E.I.",2001,14,B,14,46.9434,-63.95349
"South Tracadie, N.B.",2001,9,B,9,47.47778,-64.84944
"North Tracadie, P.E.I.",2001,12,B,12,46.43422,-63.03378
"West Point, P.E.I.",2001,24,B,24,46.66833,-64.50028
"Petit Rocher, N.B.",2001,10,B,10,47.782,-65.70242
"South Tracadie, N.B.",2002,9,B,9,47.47778,-64.84944
"North Tracadie, P.E.I.",2002,12,B,12,46.43422,-63.03378
Strait Crossing,2002,20,B,20,46.18425,-63.70769
"Tignish, P.E.I.",2002,14,B,14,46.9434,-63.95349
"Souris, P.E.I.",2002,21,B,21,46.32947,-62.25658
"Shippagan, N.B.",2002,18,S,2,47.88728,-64.76322
"Shediac, N.B.",2002,6,B,5,46.28167,-64.50153
"Pugwash, N.S.",2002,14,B,14,45.95839,-63.63714
"Pleasant Bay, N.S.",2002,26.5,B,26.5,46.84169,-60.80489
"Petit Rocher, N.B.",2002,10,B,10,47.782,-65.70242
"North Lake, P.E.I.",2002,13,B,13,46.48228,-62.05767
"Malpeque, P.E.I.",2002,17,S,2,46.58339,-63.61881
"Le Goulet, N.B.",2002,9,B,9,47.70111,-64.65139
"Judique Shoals, N.S.",2002,14,B,14,45.83778,-61.55272
"Escuminac, N.B.",2002,11,S,2,47.11917,-64.785
"Escuminac, N.B.",2002,11,B,11,47.11917,-64.785
"Caribou, N.S.",2002,10,B,10,45.77458,-62.67417
Strait Crossing,2002,25,B,25,46.23839,-63.80019
"Bouctouche, N.B.",2002,13,B,13,46.52667,-64.54833
"Val Comeau, N.B.",2002,20,B,20,47.4575,-64.79306
